Incident ID,Offence Code,CR Number,Dispatch Date / Time,NIBRS Code,Victims,Crime Name1,Crime Name2,Crime Name3,Police District Name,Block Address,City,State,Zip Code,Agency,Place,Sector,Beat,PRA,Address Number,Street Prefix,Street Name,Street Suffix,Street Type,Start_Date_Time,End_Date_Time,Latitude,Longitude,Police District Number,Location
201087097,5707,16033232,,90J,1,Crime Against Society,Trespass of Real Property,TRESPASSING,WHEATON,13700 BLK  CONNECTICUT AVE,ROCKVILLE,MD,20906,MCPD,Retail - Drug Store/Pharmacy,K,4K2,337,13700,,CONNECTICUT,,AVE,07/01/2016 12:04:00 AM,,39.078910908,-77.080827009,4D,"(39.0789, -77.0808)"
201215730,5311,180058531,11/22/2018 04:58:01 AM,90C,1,Crime Against Society,Disorderly Conduct,PUBLIC PEACE - DISORDERLY CONDUCT,CITY OF TAKOMA PARK,6800 BLK  NEW HAMPSHIRE AVE,,MD,20912,TPPD,Parking Lot - Commercial,T,8T3,808,6800,,NEW HAMPSHIRE,,AVE,11/22/2018 04:58:00 AM,11/22/2018 10:00:00 AM,38.973022421,-76.996799071,8D,"(38.973, -76.9968)"
201229073,3562,190009928,03/03/2019 04:59:49 AM,35A,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,BETHESDA,5600 BLK  OVERLEA RD,BETHESDA,MD,20816,MCPD,Street - Residential,E,2E1,003,5600,,OVERLEA,,RD,03/03/2019 04:52:00 AM,03/03/2019 04:57:00 AM,38.956840154,-77.111361557,2D,"(38.9568, -77.1114)"
201233523,1114,190015440,04/03/2019 11:53:15 AM,11B,1,Crime Against Person,Forcible Sodomy,SEX ASSAULT - SODOMY-GIRL-STRONG-ARM,SILVER SPRING,1  BLK  UNIVERSITY BLV E,SILVER SPRING,MD,20901,MCPD,School/College,H,3H2,156,1,,UNIVERSITY,E,BLV,04/02/2019 11:00:00 AM,04/02/2019 12:00:00 PM,39.020392231,-77.012776323,3D,"(39.0204, -77.0128)"
201087102,3562,16033238,,35A,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - POSSESS,SILVER SPRING,900 BLK  SILVER SPRING AVE,SILVER SPRING,MD,20910,MCPD,Parking Lot - County,G,3G1,093,900,,SILVER SPRING,,AVE,07/01/2016 12:58:00 AM,07/01/2016 12:58:00 AM,38.99170053,-77.024095691,3D,"(38.9917, -77.0241)"
201210623,2610,180051606,10/15/2018 01:04:05 PM,26F,1,Crime Against Property,Identity Theft,IDENTITY THEFT,WHEATON,11700 BLK  IDLEWOOD RD,SILVER SPRING,MD,20906,MCPD,Government Building,L,4L1,310,11700,,IDLEWOOD,,RD,10/15/2018 01:04:00 PM,,39.047284784,-77.08642599,4D,"(39.0473, -77.0864)"
201087139,3512,16033280,,35A,1,Crime Against Society,Drug/Narcotic Violations,DRUGS - HEROIN - POSSESS,ROCKVILLE,13000 BLK  ATLANTIC AVE,ROCKVILLE,MD,20850,RCPD,Residence - Single Family,A,1A2,299,13000,,ATLANTIC,,AVE,07/01/2016 09:30:00 AM,07/01/2016 09:40:00 AM,39.071126856,-77.116100388,1D,"(39.0711, -77.1161)"
201251833,2404,190038194,08/10/2019 05:55:24 PM,240,1,Crime Against Property,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,BETHESDA,6000 BLK  CROMWELL DR,BETHESDA,MD,20816,MCPD,Residence - Single Family,E,2E1,020,6000,,CROMWELL,,DR,08/10/2019 10:00:00 AM,08/10/2019 05:55:00 PM,38.969776491,-77.119663031,2D,"(38.9698, -77.1197)"
201253223,2304,190039930,08/21/2019 08:25:40 AM,23G,1,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,LARCENY - AUTO PARTS,MONTGOMERY VILLAGE,19700 BLK  FRAMINGHAM DR,GAITHERSBURG,MD,20879,MCPD,Parking Lot - Residential,R,6R1,503,19700,,FRAMINGHAM,,DR,08/20/2019 10:45:00 AM,08/21/2019 07:00:00 AM,39.177122262,-77.184199769,6D,"(39.1771, -77.1842)"
201087148,3615,16033275,,90C,1,Crime Against Society,All Other Offenses,SEX OFFENSE - INDECENT EXPOSURE TO ADULT,SILVER SPRING,900 BLK  ELLSWORTH DR,SILVER SPRING,MD,20910,MCPD,Street - Commercial,G,3G1,671,900,,ELLSWORTH,,DR,07/01/2016 09:46:00 AM,,38.996854943,-77.025432459,3D,"(38.9969, -77.0254)"
